TS_DIRETOR;;;;;;;
;;;;;;;
Variável;Tipo;Tamanho;Descrição;Código de Preenchimento;;;
TX_Q018;NUM;2;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Em uma semana normal de trabalho, quantas HORAS, no total, você gasta com TODAS as atividades de direção da escola?;Para responder a esta questão, considere que a semana normal de trabalho deste ano é aquela sem feriados, paralisações ou qualquer tipo de licença. Considere também tarefas realizadas nos fins de semana ou noites.;slidebar;0-60
TX_Q019;NUM;2;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Coordenar a gestão curricular, os métodos de aprendizagem, a avaliação e o planejamento pedagógico.;Para responder a esta questão, considere que a SEMANA NORMAL DE TRABALHO deste ano é aquela sem feriados, paralisações ou qualquer tipo de licença. Considere tarefas realizadas nos fins de semana ou noites e o limite máximo de 60 horas semanais. ;slidebar;0-60
TX_Q020;NUM;2;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Liderar as equipes de trabalho (reunião com professores, delegar tarefas para outros profissionais etc.).;Para responder a esta questão, considere que a SEMANA NORMAL DE TRABALHO deste ano é aquela sem feriados, paralisações ou qualquer tipo de licença. Considere tarefas realizadas nos fins de semana ou noites e o limite máximo de 60 horas semanais. ;slidebar;0-60
TX_Q021;NUM;2;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Gerenciar os recursos financeiros (prestação de contas etc.) e as atividades administrativas (merenda, segurança, manutenção predial etc.).;Para responder a esta questão, considere que a SEMANA NORMAL DE TRABALHO deste ano é aquela sem feriados, paralisações ou qualquer tipo de licença. Considere tarefas realizadas nos fins de semana ou noites e o limite máximo de 60 horas semanais. ;slidebar;0-60
TX_Q022;NUM;2;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Atendimento à comunidade escolar – pais ou responsáveis, professores(as) e estudantes, colaboradores etc.;Para responder a esta questão, considere que a SEMANA NORMAL DE TRABALHO deste ano é aquela sem feriados, paralisações ou qualquer tipo de licença. Considere tarefas realizadas nos fins de semana ou noites e o limite máximo de 60 horas semanais. ;slidebar;0-60
TX_Q023;NUM;2;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Outras atividades.;Para responder a esta questão, considere que a SEMANA NORMAL DE TRABALHO deste ano é aquela sem feriados, paralisações ou qualquer tipo de licença. Considere tarefas realizadas nos fins de semana ou noites e o limite máximo de 60 horas semanais. ;slidebar;0-60
TX_Q024;NUM;2;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Qual a sua carga horária semanal total de trabalho como diretor(a)?;Some o número de horas por semana referente a todas as jornadas que você assume atualmente como diretor(a). ;slidebar;0-60
TX_Q025;CHAR;1;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Qual é o seu salário bruto como diretor(a)?;Considere como salário bruto os valores recebidos somente como diretor(a) nas diversas escolas em que atua, sem descontos previdenciários ou de qualquer outra ordem, acrescido de eventuais gratificações. Indique a faixa salarial em que seu salário se encontra.;A;Até R$ 1.320,00.
;CHAR;;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Qual é o seu salário bruto como diretor(a)?;Considere como salário bruto os valores recebidos somente como diretor(a) nas diversas escolas em que atua, sem descontos previdenciários ou de qualquer outra ordem, acrescido de eventuais gratificações. Indique a faixa salarial em que seu salário se encontra.;B;De R$ 1.320,01 até R$ 2.640,00.
;CHAR;;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Qual é o seu salário bruto como diretor(a)?;Considere como salário bruto os valores recebidos somente como diretor(a) nas diversas escolas em que atua, sem descontos previdenciários ou de qualquer outra ordem, acrescido de eventuais gratificações. Indique a faixa salarial em que seu salário se encontra.;C;De R$ 2.640,01 até R$ 3.960,00.
;CHAR;;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Qual é o seu salário bruto como diretor(a)?;Considere como salário bruto os valores recebidos somente como diretor(a) nas diversas escolas em que atua, sem descontos previdenciários ou de qualquer outra ordem, acrescido de eventuais gratificações. Indique a faixa salarial em que seu salário se encontra.;D;De R$ 3.960,01 até R$ 5.280,00.
;CHAR;;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Qual é o seu salário bruto como diretor(a)?;Considere como salário bruto os valores recebidos somente como diretor(a) nas diversas escolas em que atua, sem descontos previdenciários ou de qualquer outra ordem, acrescido de eventuais gratificações. Indique a faixa salarial em que seu salário se encontra.;E;De R$ 5.280,01 até R$ 6.600,00.
;CHAR;;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Qual é o seu salário bruto como diretor(a)?;Considere como salário bruto os valores recebidos somente como diretor(a) nas diversas escolas em que atua, sem descontos previdenciários ou de qualquer outra ordem, acrescido de eventuais gratificações. Indique a faixa salarial em que seu salário se encontra.;F;De R$ 6.600,01 até R$ 7.920,00.
;CHAR;;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Qual é o seu salário bruto como diretor(a)?;Considere como salário bruto os valores recebidos somente como diretor(a) nas diversas escolas em que atua, sem descontos previdenciários ou de qualquer outra ordem, acrescido de eventuais gratificações. Indique a faixa salarial em que seu salário se encontra.;G;De R$ 7.920,01 até R$ 9.240,00.
;CHAR;;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Qual é o seu salário bruto como diretor(a)?;Considere como salário bruto os valores recebidos somente como diretor(a) nas diversas escolas em que atua, sem descontos previdenciários ou de qualquer outra ordem, acrescido de eventuais gratificações. Indique a faixa salarial em que seu salário se encontra.;H;Acima de R$ 9.240,00.
TX_Q026;CHAR;1;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Você possui outra atividade remunerada?;;A;Não
;CHAR;;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Você possui outra atividade remunerada?;;B;Sim
TX_Q027;CHAR;1;PERCEPÇÕES DO(A) DIRETOR(A);Repetir de ano é bom para o(a) estudante que não apresentou desempenho satisfatório.;Indique o quanto concorda ou discorda com as afirmativas abaixo:;A;Discordo fortemente
;CHAR;;PERCEPÇÕES DO(A) DIRETOR(A);Repetir de ano é bom para o(a) estudante que não apresentou desempenho satisfatório.;Indique o quanto concorda ou discorda com as afirmativas abaixo:;B;Discordo
;CHAR;;PERCEPÇÕES DO(A) DIRETOR(A);Repetir de ano é bom para o(a) estudante que não apresentou desempenho satisfatório.;Indique o quanto concorda ou discorda com as afirmativas abaixo:;C;Concordo
;CHAR;;PERCEPÇÕES DO(A) DIRETOR(A);Repetir de ano é bom para o(a) estudante que não apresentou desempenho satisfatório.;Indique o quanto concorda ou discorda com as afirmativas abaixo:;D;Concordo fortemente
TX_Q028;CHAR;1;PERCEPÇÕES DO(A) DIRETOR(A);As avaliações externas (municipais, estaduais ou federais) têm direcionado o que deve ser ensinado.;Indique o quanto concorda ou discorda com as afirmativas abaixo:;A;Discordo fortemente
;CHAR;;PERCEPÇÕES DO(A) DIRETOR(A);As avaliações externas (municipais, estaduais ou federais) têm direcionado o que deve ser ensinado.;Indique o quanto concorda ou discorda com as afirmativas abaixo:;B;Discordo
;CHAR;;PERCEPÇÕES DO(A) DIRETOR(A);As avaliações externas (municipais, estaduais ou federais) têm direcionado o que deve ser ensinado.;Indique o quanto concorda ou discorda com as afirmativas abaixo:;C;Concordo
;CHAR;;PERCEPÇÕES DO(A) DIRETOR(A);As avaliações externas (municipais, estaduais ou federais) têm direcionado o que deve ser ensinado.;Indique o quanto concorda ou discorda com as afirmativas abaixo:;D;Concordo fortemente
TX_Q029;CHAR;1;PERCEPÇÕES DO(A) DIRETOR(A);As avaliações externas (federais, estaduais ou municipais) têm ajudado a melhorar o processo de ensino e aprendizagem.;Indique o quanto concorda ou discorda com as afirmativas abaixo:;A;Discordo fortemente
;CHAR;;PERCEPÇÕES DO(A) DIRETOR(A);As avaliações externas (federais, estaduais ou municipais) têm ajudado a melhorar o processo de ensino e aprendizagem.;Indique o quanto concorda ou discorda com as afirmativas abaixo:;B;Discordo
;CHAR;;PERCEPÇÕES DO(A) DIRETOR(A);As avaliações externas (federais, estaduais ou municipais) têm ajudado a melhorar o processo de ensino e aprendizagem.;Indique o quanto concorda ou discorda com as afirmativas abaixo:;C;Concordo
