;;;;;;;;;Formações;;;;Projetos;;;;Avaliações;;;;;CENSO;;;;;;;
;;;;;;;;;2021;;2022;;2021;;2022;;2021 - entrada;2021 - formativa;2021 - saída;2022 - entrada; 2022 - saída;;;;;;;;
Estado;Município;Cod Escola;Escola;Rede;Escola aderiu?;Data de adesão da escola;Rede aderiu?;Data de adesão da rede;Aprovados - formação professores;Aprovados - formação gestores;Aprovados - formação professores;Aprovados - formação gestores;Projetos selecionados;Projetos concluídos;Projetos selecionados;Projetos concluídos;Alunos avaliados LF - Março 21;Alunos avaliados LF - Agosto 21;Alunos avaliados LF - Novembro 21;Alunos avaliados LF - Abril 22;Alunos avaliados LF - Out 22;Qtde matrículas;Qtde turmas;Qtde docentes;Qtde diretores;Localização;Indígena ou Quilombola;;
PERNAMBUCO;RECIFE;26124874;ESCOLA MISSIONARIO SAO BENTO;ESTADUAL;Sim;29/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;404;11;11;1;Urbana;0;;
PERNAMBUCO;RECIFE;26124904;ESCOLA VILA DOS MILAGRES;ESTADUAL;Sim;29/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;300;12;13;0;Urbana;0;;
PERNAMBUCO;RECIFE;26124912;ESCOLA ROBERTO SILVEIRA;ESTADUAL;Sim;05/08/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;54;0;0;0;293;10;11;1;Urbana;0;;
PERNAMBUCO;RECIFE;26124920;ESCOLA SAO FRANCISCO DE ASSIS - RS;ESTADUAL;Sim;30/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;5;0;0;0;355;10;13;1;Urbana;0;;
PERNAMBUCO;RECIFE;26124939;ESCOLA SARGENTO CAMARGO;ESTADUAL;Sim;05/08/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;327;10;11;1;Urbana;0;;
PERNAMBUCO;RECIFE;26125013;ESCOLA GERCINO DE PONTES;ESTADUAL;Sim;05/08/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;9;0;0;0;288;8;13;1;Urbana;0;;
PERNAMBUCO;RECIFE;26125072;ESCOLA LANDELINO ROCHA;ESTADUAL;Sim;31/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;53;0;0;0;257;8;8;2;Urbana;0;;
PERNAMBUCO;RECIFE;26125080;ESCOLA LUIS DE CAMOES;ESTADUAL;Sim;30/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;4;0;0;0;674;19;24;0;Urbana;0;;
PERNAMBUCO;RECIFE;26125293;ESCOLA SENADOR ANTONIO FARIAS;ESTADUAL;Sim;13/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;303;8;10;1;Urbana;0;;
PERNAMBUCO;RECIFE;26125358;ESCOLA MONTE VERDE;ESTADUAL;Sim;30/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;31;0;0;0;338;10;15;2;Urbana;0;;
PERNAMBUCO;RECIFE;26125480;ESCOLA MUNICIPAL JARDIM MAURICEIA;MUNICIPAL;Sim;24/02/2022;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;197;14;12;1;Urbana;0;;
PERNAMBUCO;RECIFE;26125560;ESCOLA MUNICIPAL PROF JOSE LOURENCO DE LIMA;MUNICIPAL;Sim;02/08/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;242;10;7;2;Urbana;0;;
PERNAMBUCO;RECIFE;26125650;ESCOLA LIONS DE PARNAMIRIM;ESTADUAL;Sim;26/07/2021;Sim;06/07/2021;2;1;1;0;2;2;4;2;0;15;14;60;0;251;8;9;1;Urbana;0;;
PERNAMBUCO;RECIFE;26125943;ESCOLA MONSENHOR MANOEL MARQUES;ESTADUAL;Sim;05/08/2021;Sim;06/07/2021;2;0;0;0;0;0;0;0;0;0;0;50;0;405;13;25;1;Urbana;0;;
PERNAMBUCO;RECIFE;26125986;ESCOLA ANA MALTA DA COSTA AZEVEDO;ESTADUAL;Sim;26/07/2021;Sim;06/07/2021;3;0;0;0;10;6;0;0;0;34;0;46;0;313;12;16;2;Urbana;0;;
PERNAMBUCO;RECIFE;26125994;ESCOLA MUNICIPAL ARQUITETO ALEXANDRE MUNIZ DE OLIVEIRA;MUNICIPAL;Sim;30/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;54;0;0;0;276;10;12;1;Urbana;0;;
PERNAMBUCO;RECIFE;26126010;ESCOLA CAIO PEREIRA;ESTADUAL;Sim;27/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;52;0;0;0;541;14;26;1;Urbana;0;;
PERNAMBUCO;RECIFE;26126052;ESCOLA CORONEL OTHON;ESTADUAL;Sim;29/07/2021;Sim;06/07/2021;1;0;0;0;2;2;1;0;0;43;42;51;0;805;21;24;1;Urbana;0;;
PERNAMBUCO;RECIFE;26126087;ESCOLA MUNICIPAL OCTAVIO DE MEIRA LINS;MUNICIPAL;Sim;29/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;97;0;0;0;526;22;22;1;Urbana;0;;
PERNAMBUCO;RECIFE;26126141;ESCOLA DONA MARIA TERESA CORREA;ESTADUAL;Sim;26/07/2021;Sim;06/07/2021;0;0;0;0;2;2;0;0;0;83;42;60;0;343;9;11;0;Urbana;0;;
