TS_SECRETARIO_MUNICIPAL;;;;;;;;;
;;;;;;;;;
VARIÁVEL;TIPO;TAMANHO;DESCRIÇÃO;CÓDIGO DE PREENCHIMENTO;;;;;
;CHAR;;INFORMAÇÕES PESSOAIS E EXPERIÊNCIA PROFISSIONAL;Indique as funções que exerceu: Membro de equipe de Instituição de Educação Superior (direção, pedagógico, administrativo etc.).;Regra de dependência: se Q010='Sim', abre o bloco de itens Q011 a Q018.;B;Sim;;
TX_Q017;CHAR;1;INFORMAÇÕES PESSOAIS E EXPERIÊNCIA PROFISSIONAL;Indique as funções que exerceu: Secretário (a) Municipal de Educação em outra rede.;Regra de dependência: se Q010='Sim', abre o bloco de itens Q011 a Q018.;A;Não;;
;CHAR;;INFORMAÇÕES PESSOAIS E EXPERIÊNCIA PROFISSIONAL;Indique as funções que exerceu: Secretário (a) Municipal de Educação em outra rede.;Regra de dependência: se Q010='Sim', abre o bloco de itens Q011 a Q018.;B;Sim;;
TX_Q018;NUM;2;INFORMAÇÕES PESSOAIS E EXPERIÊNCIA PROFISSIONAL;Qual o seu tempo total de experiência, em ano, na área de educação?;Regra de dependência: se Q010='Sim', abre o bloco de itens Q011 a Q018.;Slidebar;0-40;;
TX_Q019;NUM;2;INFORMAÇÕES PESSOAIS E EXPERIÊNCIA PROFISSIONAL;Qual o seu tempo de experiência, em ano, como Secretário (a) Municipal de Educação neste ou em outro município?;;Slidebar;0-40;;
TX_Q020;CHAR;1;INFORMAÇÕES PESSOAIS E EXPERIÊNCIA PROFISSIONAL;Você ocupa o cargo de Secretário (a) Municipal de Educação desde o início da gestão do atual prefeito?;;A;Não;;
;CHAR;;INFORMAÇÕES PESSOAIS E EXPERIÊNCIA PROFISSIONAL;Você ocupa o cargo de Secretário (a) Municipal de Educação desde o início da gestão do atual prefeito?;;B;Sim;;
TX_Q021;CHAR;1;INFORMAÇÕES PESSOAIS E EXPERIÊNCIA PROFISSIONAL;Além de atividades como Secretário (a) Municipal de Educação, você exerce OUTRA atividade profissional?;;A;Não;;
;CHAR;;INFORMAÇÕES PESSOAIS E EXPERIÊNCIA PROFISSIONAL;Além de atividades como Secretário (a) Municipal de Educação, você exerce OUTRA atividade profissional?;;B;Sim;;
TX_Q022;CHAR;1;PERCEPÇÕES DO(A) SECRETÁRIO(A) MUNICIPAL DE EDUCAÇÃO;Repetir de ano é bom para o(a) estudante que não apresentou desempenho satisfatório.;Indique o quanto vocë discorda, ou concorda, em relação aos seguintes temas:;A;Discordo fortemente;;
;CHAR;;PERCEPÇÕES DO(A) SECRETÁRIO(A) MUNICIPAL DE EDUCAÇÃO;Repetir de ano é bom para o(a) estudante que não apresentou desempenho satisfatório.;Indique o quanto vocë discorda, ou concorda, em relação aos seguintes temas:;B;Discordo;;
;CHAR;;PERCEPÇÕES DO(A) SECRETÁRIO(A) MUNICIPAL DE EDUCAÇÃO;Repetir de ano é bom para o(a) estudante que não apresentou desempenho satisfatório.;Indique o quanto vocë discorda, ou concorda, em relação aos seguintes temas:;C;Concordo;;
;CHAR;;PERCEPÇÕES DO(A) SECRETÁRIO(A) MUNICIPAL DE EDUCAÇÃO;Repetir de ano é bom para o(a) estudante que não apresentou desempenho satisfatório.;Indique o quanto vocë discorda, ou concorda, em relação aos seguintes temas:;D;Concordo fortemente;;
TX_Q023;CHAR;1;PERCEPÇÕES DO(A) SECRETÁRIO(A) MUNICIPAL DE EDUCAÇÃO;As avaliações externas (municipais, estaduais ou federais) têm direcionado o que deve ser ensinado na rede municipal.;Indique o quanto vocë discorda, ou concorda, em relação aos seguintes temas:;A;Discordo fortemente;;
