TS_PROFESSOR;;;;;;;
;;;;;;;
Variável;Tipo;Tamanho;Descrição;Código de Preenchimento;;;
TX_Q021;CHAR;1;FORMAÇÃO;Atividades formativas com menos de 20 horas;Considerando a carga horária das atividades dormativas listadas abaixo, indique quantas você participou neste ano:;A;Nenhuma.
;;;;;;B;Uma.
;;;;;;C;Duas.
;;;;;;D;Três ou mais.
TX_Q022;CHAR;1;FORMAÇÃO;Curso com carga horária total de 20 horas até 179 horas.;Considerando a carga horária das atividades dormativas listadas abaixo, indique quantas você participou neste ano:;A;Nenhuma.
;;;;;;B;Uma.
;;;;;;C;Duas.
;;;;;;D;Três ou mais.
TX_Q023;CHAR;1;FORMAÇÃO;Curso com carga horária total com mais de 180 e menos 360 horas;Considerando a carga horária das atividades dormativas listadas abaixo, indique quantas você participou neste ano:;A;Nenhuma.
;;;;;;B;Uma.
;;;;;;C;Duas.
;;;;;;D;Três ou mais.
TX_Q024;CHAR;1;FORMAÇÃO;Considerando as atividades formativas de curta duração (inferiores a 360 horas) das quais participou neste ano, com que frequência estava previsto: Participação de professor(es) da(s) escola(s) em que leciono?;Regra de dependência: caso marque as alternativas Uma e/ou Duas e/ou Três ou mais no bloco de itens anterior (Q021,Q022 e Q023), abre os próximos três blocos (Q024 a Q033).;A;Nunca
;;;;;;B;Poucas vezes
;;;;;;C;Muitas vezes
;;;;;;D;Sempre
TX_Q025;CHAR;1;FORMAÇÃO;Considerando as atividades formativas de curta duração (inferiores a 360 horas) das quais participou neste ano, com que frequência estava previsto: Atividades colaborativas de aprendizado?;Regra de dependência: caso marque as alternativas Uma e/ou Duas e/ou Três ou mais no bloco de itens anterior (Q021,Q022 e Q023), abre os próximos três blocos (Q024 a Q033).;A;Nunca
;;;;;;B;Poucas vezes
;;;;;;C;Muitas vezes
;;;;;;D;Sempre
TX_Q026;CHAR;1;FORMAÇÃO;Considerando as atividades formativas de curta duração (inferiores a 360 horas) das quais participou neste ano, com que frequência estava previsto: Atividades intercaladas com seu trabalho normal de sala de aula?;Regra de dependência: caso marque as alternativas Uma e/ou Duas e/ou Três ou mais no bloco de itens anterior (Q021,Q022 e Q023), abre os próximos três blocos (Q024 a Q033).;A;Nunca
;;;;;;B;Poucas vezes
;;;;;;C;Muitas vezes
;;;;;;D;Sempre
TX_Q027;CHAR;1;FORMAÇÃO;Indique o nível de contribuição das atividades formativas e cursos realizados neste ano para:  Aprofundar seus conhecimentos sobre as disciplinas que leciona.;Regra de dependência: caso marque as alternativas Uma e/ou Duas e/ou Três ou mais no bloco de itens anterior (Q021,Q022 e Q023), abre os próximos três blocos (Q024 a Q033).;A;Não contribuiu
;;;;;;B;Contribuiu pouco
;;;;;;C;Contribuiu razoavelmente
;;;;;;D;Contribuiu muito
TX_Q028;CHAR;1;FORMAÇÃO;Indique o nível de contribuição das atividades formativas e cursos realizados neste ano para:  Aprimorar os processos avaliativos.;Regra de dependência: caso marque as alternativas Uma e/ou Duas e/ou Três ou mais no bloco de itens anterior (Q021,Q022 e Q023), abre os próximos três blocos (Q024 a Q033).;A;Não contribuiu
;;;;;;B;Contribuiu pouco
;;;;;;C;Contribuiu razoavelmente
;;;;;;D;Contribuiu muito
TX_Q029;CHAR;1;FORMAÇÃO;Indique o nível de contribuição das atividades formativas e cursos realizados neste ano para:  Utilizar novas tecnologias para apoiar suas atividades.;Regra de dependência: caso marque as alternativas Uma e/ou Duas e/ou Três ou mais no bloco de itens anterior (Q021,Q022 e Q023), abre os próximos três blocos (Q024 a Q033).;A;Não contribuiu
;;;;;;B;Contribuiu pouco
;;;;;;C;Contribuiu razoavelmente
;;;;;;D;Contribuiu muito
TX_Q030;CHAR;1;FORMAÇÃO;Indique o nível de contribuição das atividades formativas e cursos realizados neste ano para:  Colaborar com seus colegas na preparação de atividades e projetos.;Regra de dependência: caso marque as alternativas Uma e/ou Duas e/ou Três ou mais no bloco de itens anterior (Q021,Q022 e Q023), abre os próximos três blocos (Q024 a Q033).;A;Não contribuiu
;;;;;;B;Contribuiu pouco
;;;;;;C;Contribuiu razoavelmente
;;;;;;D;Contribuiu muito
TX_Q031;CHAR;1;FORMAÇÃO;Indique o nível de contribuição das atividades formativas e cursos realizados neste ano para:  Aprimorar as metodologias de ensino.;Regra de dependência: caso marque as alternativas Uma e/ou Duas e/ou Três ou mais no bloco de itens anterior (Q021,Q022 e Q023), abre os próximos três blocos (Q024 a Q033).;A;Não contribuiu
;;;;;;B;Contribuiu pouco
;;;;;;C;Contribuiu razoavelmente
;;;;;;D;Contribuiu muito
TX_Q032;CHAR;1;FORMAÇÃO;Indique o nível de contribuição das atividades formativas e cursos realizados neste ano para:  Auxiliar na mediação de conflitos.;Regra de dependência: caso marque as alternativas Uma e/ou Duas e/ou Três ou mais no bloco de itens anterior (Q021,Q022 e Q023), abre os próximos três blocos (Q024 a Q033).;A;Não contribuiu
;;;;;;B;Contribuiu pouco
;;;;;;C;Contribuiu razoavelmente
;;;;;;D;Contribuiu muito
TX_Q033;CHAR;1;FORMAÇÃO;Dentre as atividades formativas listadas anteriormente das quais você participou neste ano, a instituição ou Secretaria de Educação financiou:;Regra de dependência: caso marque as alternativas Uma e/ou Duas e/ou Três ou mais no bloco de itens anterior (Q021,Q022 e Q023), abre os próximos três blocos (Q024 a Q033).;A;Todas as atividades formativas.
;;;;;;B;Algumas atividades formativas (ou parte delas).
;;;;;;C;Nenhuma atividade formativa.
TX_Q034;CHAR;1;FORMAÇÃO;Durante este ano, indique se participou de algum dos cursos de pós-graduação listados abaixo:;;A;Não fiz curso de pós-graduação.
;;;;;;B;Especialização (mínimo de 360 horas).
;;;;;;C;Mestrado (acadêmico ou profissional).
;;;;;;D;Doutorado.
TX_Q035;CHAR;1;FORMAÇÃO;Recebeu apoio da Secretaria ou mantenedora para realizá-lo?;Regra de dependência: se Q034='B' e/ou Q034='C' e/ou Q034='D', abre os próximos dois itens (Q035 e Q036).;A;SEM apoio.
;;;;;;B;Com apoio parcial.
;;;;;;C;Com apoio total.
TX_Q036;CHAR;1;FORMAÇÃO;Indique quem pagou por esse curso de pós-graduação:;Regra de dependência: se Q034='B' e/ou Q034='C' e/ou Q034='D', abre os próximos dois itens (Q035 e Q036).;A;Curso gratuito.
;;;;;;B;Curso pago por algum órgão ou instituição (total ou parcialmente).
;;;;;;C;Eu paguei integralmente o curso.
TX_Q037;CHAR;1;FORMAÇÃO;Uso de novas tecnologias de informação e comunicação.;Para cada um dos temas relacionados abaixo, avalie o grau de necessidade de realização de atividades/cursos voltados para seu desenvolvimento profissional atualmente. ;A;Nenhuma necessidade
;;;;;;B;Pouca necessidade
;;;;;;C;Moderada necessidade
;;;;;;D;Muita necessidade
TX_Q038;CHAR;1;FORMAÇÃO;Gestão de conflitos.;Para cada um dos temas relacionados abaixo, avalie o grau de necessidade de realização de atividades/cursos voltados para seu desenvolvimento profissional atualmente. ;A;Nenhuma necessidade
;;;;;;B;Pouca necessidade
;;;;;;C;Moderada necessidade
;;;;;;D;Muita necessidade
TX_Q039;CHAR;1;FORMAÇÃO;Metodologia de avaliação.;Para cada um dos temas relacionados abaixo, avalie o grau de necessidade de realização de atividades/cursos voltados para seu desenvolvimento profissional atualmente. ;A;Nenhuma necessidade
;;;;;;B;Pouca necessidade
;;;;;;C;Moderada necessidade
;;;;;;D;Muita necessidade
TX_Q040;CHAR;1;FORMAÇÃO;Metodologia de ensino para o público-alvo da educação especial.;Para cada um dos temas relacionados abaixo, avalie o grau de necessidade de realização de atividades/cursos voltados para seu desenvolvimento profissional atualmente. ;A;Nenhuma necessidade
;;;;;;B;Pouca necessidade
;;;;;;C;Moderada necessidade
;;;;;;D;Muita necessidade
TX_Q041;CHAR;1;FORMAÇÃO;Utilização de elementos da cultura local na prática pedagógica.;Para cada um dos temas relacionados abaixo, avalie o grau de necessidade de realização de atividades/cursos voltados para seu desenvolvimento profissional atualmente. ;A;Nenhuma necessidade
;;;;;;B;Pouca necessidade
;;;;;;C;Moderada necessidade
;;;;;;D;Muita necessidade
TX_Q042;CHAR;1;FORMAÇÃO;Identificação de problemas extraescolares.;Para cada um dos temas relacionados abaixo, avalie o grau de necessidade de realização de atividades/cursos voltados para seu desenvolvimento profissional atualmente. ;A;Nenhuma necessidade
;;;;;;B;Pouca necessidade
;;;;;;C;Moderada necessidade
